date,countryIsoCode,users
2022-04-06,CH,48
2022-04-06,DE,508
2022-04-06,FR,371
2022-04-06,IT,595
2022-04-06,SE,215
2022-04-07,AT,47
2022-04-07,CH,51
2022-04-07,DE,513
2022-04-07,FR,389
2022-04-07,IT,549
2022-04-07,SE,236
2022-04-08,AT,55
2022-04-08,CH,44
2022-04-08,DE,432
2022-04-08,FR,355
2022-04-08,IT,539
2022-04-08,SE,175
2022-04-09,AT,29
2022-04-09,CH,28
2022-04-09,DE,261
2022-04-09,FR,135
2022-04-09,IT,349
2022-04-09,SE,93
2022-04-10,AT,37
2022-04-10,CH,24
2022-04-10,DE,235
2022-04-10,FR,128
2022-04-10,IT,293
2022-04-10,SE,92
2022-04-11,AT,38
2022-04-11,CH,60
2022-04-11,DE,492
2022-04-11,FR,370
2022-04-11,IT,540
2022-04-11,SE,226
2022-04-12,AT,60
2022-04-12,CH,48
2022-04-12,DE,465
2022-04-12,FR,392
2022-04-12,IT,634
2022-04-12,SE,186
2022-04-13,AT,38
2022-04-13,CH,47
2022-04-13,DE,495
2022-04-13,FR,335
2022-04-13,IT,640
2022-04-13,SE,193
2022-04-14,AT,43
2022-04-14,CH,40
2022-04-14,DE,427
2022-04-14,FR,352
2022-04-14,IT,586
2022-04-14,SE,168
2022-04-15,AT,46
2022-04-15,CH,25
2022-04-15,DE,266
2022-04-15,FR,258
2022-04-15,IT,478
2022-04-15,SE,80
2022-04-16,AT,32
2022-04-16,CH,19
2022-04-16,DE,219
2022-04-16,FR,127
2022-04-16,IT,289
2022-04-16,SE,70
2022-04-17,AT,26
2022-04-17,CH,18
2022-04-17,DE,174
2022-04-17,FR,130
